AlligatorRivers,ApprouagueRiver,CongoDelta,EssequiboRiver,FuroSantaMaria,KikoriRiver,Loango,MacDonaldDoughboy,MissionRiver,Morawhanna,Taman,TanaRiver
6.242188842,6.39831,,,,,,,,,,160.93786
6.49473,6.55497,,,,,,,,,,164.99849
6.939880416,6.584406955,,,,,,,,,,198.13047
9.571160808,6.6465,,,,,,,,,,200.57652
10.12338067,6.875,,,,,,,,,,204.39348
11.81575,6.93172,,,,,,,,,,400
17,8.17255,,,,,,,,,,408.00035
21.71016364,8.220684806,,,,,,,,,,562.59269
21.71016364,8.69725,,,,,,,,,,591.3955721
25.97892,9.70283,,,,,,,,,,592.66598
26.30015718,11.88,,,,,,,,,,964.65473
27.2501,12.02237757,,,,,,,,,,995.94054
47.38647,16.63317,,,,,,,,,,1536.3104
52.13984232,19.99888542,,,,,,,,,,3824.53993
177.5229,20.54686,,,,,,,,,,
635.97434,21.13369,,,,,,,,,,
929.50097,21.66907022,,,,,,,,,,
1150.299704,26,,,,,,,,,,
,29.53183,,,,,,,,,,
,31.79871,,,,,,,,,,
,35.28376647,,,,,,,,,,
,40.64189,,,,,,,,,,
,46.22003451,,,,,,,,,,
,48.14491,,,,,,,,,,
,53.95405,,,,,,,,,,
,73.38140621,,,,,,,,,,
,75.90125,,,,,,,,,,
,78.31590231,,,,,,,,,,
,83.94309,,,,,,,,,,
,169.49664,,,,,,,,,,
,345.1437393,,,,,,,,,,
,883.39781,,,,,,,,,,
