Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Marawhanna
,0.003123425,,,,,,,,,,,,,,,,,,,0.178224527,0.179554264,,,,
,0.002073583,,,,,,,,,,,,,,,,,,,0.17734,0.178224527,,,,
,0.001998957,,,,,,,,,,,,,,,,,,,0.176460849,0.17734,,,,
,0.001754062,,,,,,,,,,,,,,,,,,,0.168845588,0.176460849,,,,
,0.001519528,,,,,,,,,,,,,,,,,,,0.147154249,0.168845588,,,,
,0.001519528,,,,,,,,,,,,,,,,,,,0.141817515,0.168655303,,,,
,0.001209704,,,,,,,,,,,,,,,,,,,0.120207737,0.147154249,,,,
,0.001081329,,,,,,,,,,,,,,,,,,,0.120207737,0.141817515,,,,
,,,,,,,,,,,,,,,,,,,,0.112690354,0.139159931,,,,
,,,,,,,,,,,,,,,,,,,,0.107406796,0.13352018,,,,
,,,,,,,,,,,,,,,,,,,,0.101194927,0.12042,,,,
,,,,,,,,,,,,,,,,,,,,0.098836648,0.120207737,,,,
,,,,,,,,,,,,,,,,,,,,0.098836648,0.112690354,,,,
,,,,,,,,,,,,,,,,,,,,0.071267129,0.110047119,,,,
,,,,,,,,,,,,,,,,,,,,0.069503648,0.107406796,,,,
,,,,,,,,,,,,,,,,,,,,0.051044746,0.1057687,,,,
,,,,,,,,,,,,,,,,,,,,0.050534882,0.10228,,,,
,,,,,,,,,,,,,,,,,,,,0.044786767,0.101194927,,,,
,,,,,,,,,,,,,,,,,,,,0.04074,0.098836648,,,,
,,,,,,,,,,,,,,,,,,,,0.035751972,0.098836648,,,,
,,,,,,,,,,,,,,,,,,,,0.03491,0.089,,,,
,,,,,,,,,,,,,,,,,,,,0.031944073,0.085499859,,,,
,,,,,,,,,,,,,,,,,,,,0.028434799,0.077785303,,,,
,,,,,,,,,,,,,,,,,,,,0.022261116,0.0734,,,,
,,,,,,,,,,,,,,,,,,,,0.021740432,0.071267129,,,,
,,,,,,,,,,,,,,,,,,,,0.019837,0.069503648,,,,
,,,,,,,,,,,,,,,,,,,,0.01651293,0.062492741,,,,
,,,,,,,,,,,,,,,,,,,,0.015956223,0.057,,,,
,,,,,,,,,,,,,,,,,,,,0.014257562,0.05222,,,,
,,,,,,,,,,,,,,,,,,,,0.012642479,0.051044746,,,,
,,,,,,,,,,,,,,,,,,,,0.012113573,0.050534882,,,,
,,,,,,,,,,,,,,,,,,,,0.008409856,0.048,,,,
,,,,,,,,,,,,,,,,,,,,0.005501452,0.047551752,,,,
,,,,,,,,,,,,,,,,,,,,0.004072444,0.044786767,,,,
,,,,,,,,,,,,,,,,,,,,0.003902507,0.04074,,,,
,,,,,,,,,,,,,,,,,,,,0.003486295,0.03628,,,,
,,,,,,,,,,,,,,,,,,,,0.003143681,0.035751972,,,,
,,,,,,,,,,,,,,,,,,,,0.002978925,0.03491,,,,
,,,,,,,,,,,,,,,,,,,,0.00255346,0.03315,,,,
,,,,,,,,,,,,,,,,,,,,,0.031944073,,,,
,,,,,,,,,,,,,,,,,,,,,0.029822698,,,,
,,,,,,,,,,,,,,,,,,,,,0.028434799,,,,
,,,,,,,,,,,,,,,,,,,,,0.021740432,,,,
,,,,,,,,,,,,,,,,,,,,,0.019837,,,,
,,,,,,,,,,,,,,,,,,,,,0.018800933,,,,
,,,,,,,,,,,,,,,,,,,,,0.01651293,,,,
,,,,,,,,,,,,,,,,,,,,,0.015434998,,,,
,,,,,,,,,,,,,,,,,,,,,0.015,,,,
,,,,,,,,,,,,,,,,,,,,,0.014257562,,,,
,,,,,,,,,,,,,,,,,,,,,0.012642479,,,,
,,,,,,,,,,,,,,,,,,,,,0.010698036,,,,
,,,,,,,,,,,,,,,,,,,,,0.008409856,,,,
,,,,,,,,,,,,,,,,,,,,,0.007961218,,,,
,,,,,,,,,,,,,,,,,,,,,0.00759,,,,
,,,,,,,,,,,,,,,,,,,,,0.006430428,,,,
,,,,,,,,,,,,,,,,,,,,,0.006109509,,,,
,,,,,,,,,,,,,,,,,,,,,0.003902507,,,,
,,,,,,,,,,,,,,,,,,,,,0.003902507,,,,
,,,,,,,,,,,,,,,,,,,,,0.003486295,,,,
,,,,,,,,,,,,,,,,,,,,,0.003143681,,,,
,,,,,,,,,,,,,,,,,,,,,0.002978925,,,,
,,,,,,,,,,,,,,,,,,,,,0.002970874,,,,
,,,,,,,,,,,,,,,,,,,,,0.00255346,,,,
,,,,,,,,,,,,,,,,,,,,,0.001190407,,,,
,,,,,,,,,,,,,,,,,,,,,0.000608672,,,,
